kereskedo_id,nev,email,eletkor,munkakezd
1,B. László Beáta,voroserika@torok.hu,35,2019-03-26
2,Dr. Vargané Gál Ágnes,ilonakiss@balazs.biz,25,2017-05-04
3,Németh Gál Anikó,etelkaolah@molnar.hu,51,2023-12-25
4,Orsós Róbert,jizsef45@yahoo.com,53,2021-09-20
5,Nagy Molnár Benedek,zsuzsannafekete@hotmail.com,55,2021-03-30
6,E. Deák Gabriella,ferenc69@yahoo.com,43,2019-07-29
7,Dr. Veres Alex,simoneniko@tith.com,27,2017-11-05
8,Dr. Tóthné Faragó Kinga,zvarga@gmail.com,39,2023-07-26
9,Némethné Dr. Kiss Katalin Mária,erzsebetgaspar@somogyi.org,43,2020-11-30
10,Dr. Nemes É. Erika,janos02@molnar.info,43,2019-09-21
